index;x;y;z
399;0.620346;0.600983;-0.396484
400;0.748520;0.645233;-0.432724
401;0.804565;0.583237;-0.493484
402;0.859253;0.649323;-0.599060
403;0.925827;0.772049;-0.799042
404;0.914444;0.635193;-0.907730
405;0.756058;0.463730;-0.820557
406;0.682220;0.436966;-0.712524
407;0.633957;0.472412;-0.641174
408;0.660416;0.467682;-0.562653
409;0.678833;0.379532;-0.487289
410;0.642151;0.316345;-0.418930
411;0.599014;0.312927;-0.384689
412;0.604218;0.326004;-0.402100
413;0.657669;0.334274;-0.435226
414;0.708359;0.330444;-0.451691
415;0.708588;0.325562;-0.439117
416;0.676193;0.337524;-0.421066
417;0.668549;0.379044;-0.427017
418;0.726715;0.429947;-0.510895
419;0.793274;0.501526;-0.615402
420;0.819016;0.499481;-0.567429
421;0.772690;0.528488;-0.617264
422;0.798798;0.706146;-0.743484
423;0.706879;0.722778;-0.815094
424;0.637222;0.736679;-0.688202
425;0.669678;0.582916;-0.558548
426;0.678299;0.610840;-0.663589
427;0.693680;0.652191;-0.671799
428;0.658127;0.595474;-0.595825
429;0.638763;0.510712;-0.457962
430;0.556061;0.449463;-0.367737
431;0.489883;0.429443;-0.351990
432;0.476822;0.460068;-0.354599
433;0.491089;0.480301;-0.349670
434;0.565247;0.517838;-0.382782
435;0.601059;0.530212;-0.416122
436;0.601990;0.544739;-0.432144
437;0.648285;0.569901;-0.371887
438;0.771194;0.577072;-0.436493
439;0.890869;0.625443;-0.533813
440;0.896225;0.673813;-0.647232
441;0.951355;0.721451;-0.830963
442;0.900681;0.573700;-0.932404
443;0.751617;0.465851;-0.794495
444;0.610306;0.451126;-0.669022
445;0.631912;0.467041;-0.609146
446;0.650345;0.412521;-0.520798
447;0.661713;0.366531;-0.493576
448;0.627472;0.327820;-0.452499
449;0.599731;0.335037;-0.421814
450;0.591644;0.338531;-0.415863
451;0.635712;0.325912;-0.432861
452;0.686432;0.315231;-0.434418
453;0.705322;0.319092;-0.420471
454;0.688385;0.352646;-0.407150
455;0.688553;0.418335;-0.470291
456;0.766464;0.484589;-0.588394
457;0.791031;0.502182;-0.611404
458;0.859512;0.605896;-0.636246
459;0.840485;0.629898;-0.625214
